Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTS02 - Object properties,TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:30:11,04-07-2024 13:32:08,1m - 56.843s,PASSED
,,,,,,,
Test Cases/Properties/TCP01 - Open browser,TestCloud - Windows - Chrome 124.0.0.0,,Helper,04-07-2024 13:30:12,04-07-2024 13:31:31,1m - 19.612s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:30:12,04-07-2024 13:31:25,1m - 13.091s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:25,04-07-2024 13:31:31,6.285s,PASSED
,,,,,,,
Test Cases/Properties/TCP02 - Login,TestCloud - Windows - Chrome 124.0.0.0,,Helper,04-07-2024 13:31:31,04-07-2024 13:31:56,24.470s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:31,04-07-2024 13:31:36,4.854s,PASSED
"verifyElementPresent(findTestObject(""2. CURA Test Object (Verify parameter)/Login Text""), 0)",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:36,04-07-2024 13:31:36,0.004s,NOT_RUN
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), ""John Doe"")",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:36,04-07-2024 13:31:44,7.487s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), ""ThisIsNotAPassword"")",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:44,04-07-2024 13:31:51,7.589s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:51,04-07-2024 13:31:56,4.411s,PASSED
,,,,,,,
Test Cases/Properties/TCP03 - Logout,TestCloud - Windows - Chrome 124.0.0.0,,Helper,04-07-2024 13:31:56,04-07-2024 13:32:08,12.552s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:56,04-07-2024 13:31:59,3.161s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:31:59,04-07-2024 13:32:02,3.205s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:32:02,04-07-2024 13:32:07,4.886s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 124.0.0.0,,,04-07-2024 13:32:07,04-07-2024 13:32:08,1.183s,PASSED
