Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS14 - Login and Logout using Keywords,Chrome 126.0.0.0,,,04-07-2024 14:12:37,04-07-2024 14:12:49,11.531s,PASSED
,,,,,,,
Test Cases/TC26 - Open browser using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 14:12:38,04-07-2024 14:12:42,4.719s,PASSED
propertiesPage.openBrowser.main(),Chrome 126.0.0.0,,,04-07-2024 14:12:38,04-07-2024 14:12:42,4.493s,PASSED
,,,,,,,
Test Cases/TC27 - Login using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 14:12:42,04-07-2024 14:12:47,4.440s,PASSED
propertiesPage.loginMenu.main(),Chrome 126.0.0.0,,,04-07-2024 14:12:42,04-07-2024 14:12:47,4.294s,PASSED
,,,,,,,
Test Cases/TC28 - Logout using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 14:12:47,04-07-2024 14:12:49,2.217s,PASSED
propertiesPage.logoutMenu.main(),Chrome 126.0.0.0,,,04-07-2024 14:12:47,04-07-2024 14:12:49,2.076s,PASSED
