Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTS01 - Login using data driven,,,,02-07-2024 14:05:12,02-07-2024 14:05:13,0.679s,FAILED
,,,,,,,
Test Cases/TC17 - Login using data driven,,,Regression,02-07-2024 14:05:12,02-07-2024 14:05:13,0.596s,FAILED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",,,,02-07-2024 14:05:12,02-07-2024 14:05:13,0.298s,FAILED
