Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTS02 - Object properties,Chrome 126.0.0.0,,,04-07-2024 11:50:19,04-07-2024 11:50:30,10.983s,PASSED
,,,,,,,
Test Cases/Properties/TCP01 - Open browser,Chrome 126.0.0.0,,Helper,04-07-2024 11:50:19,04-07-2024 11:50:24,4.597s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 11:50:19,04-07-2024 11:50:21,1.524s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,04-07-2024 11:50:21,04-07-2024 11:50:24,2.824s,PASSED
,,,,,,,
Test Cases/Properties/TCP02 - Login,Chrome 126.0.0.0,,Helper,04-07-2024 11:50:24,04-07-2024 11:50:28,3.900s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,04-07-2024 11:50:24,04-07-2024 11:50:25,0.980s,PASSED
"verifyElementPresent(findTestObject(""2. CURA Test Object (Verify parameter)/Login Text""), 0)",Chrome 126.0.0.0,,,04-07-2024 11:50:25,04-07-2024 11:50:25,0.035s,NOT_RUN
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), ""John Doe"")",Chrome 126.0.0.0,,,04-07-2024 11:50:25,04-07-2024 11:50:26,0.835s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,04-07-2024 11:50:26,04-07-2024 11:50:27,0.844s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,04-07-2024 11:50:27,04-07-2024 11:50:28,1.021s,PASSED
,,,,,,,
Test Cases/Properties/TCP03 - Logout,Chrome 126.0.0.0,,Helper,04-07-2024 11:50:28,04-07-2024 11:50:30,2.286s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,04-07-2024 11:50:28,04-07-2024 11:50:28,0.346s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,04-07-2024 11:50:28,04-07-2024 11:50:29,0.401s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",Chrome 126.0.0.0,,,04-07-2024 11:50:29,04-07-2024 11:50:30,1.140s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 11:50:30,04-07-2024 11:50:30,0.291s,PASSED
